a1 啊 
jia2 扴 
jia3 岬 
jia4 驾 
jian1 戋 
jian3 枧 
jian4 件 
jiang1 江 
jiang3 讲 
jiang4 匠 
jiao1 艽 
jiao3 臫 
jiao4 叫 
jie1 阶 
jie2 孑 
jie3 毑 
jie4 介 
jin1 巾 
jin3 侭 
jin4 伒 
jing1 坕 
jing3 井 
jing4 妌 
jiong1 坰 
jiong3 囧 
jiu1 纠 
jiu3 九 
jiu4 旧 
ju1 凥 
ju2 局 
ju3 弆 
ju4 巨 
juan1 姢 
juan3 呟 
juan4 奆 
jue1 噘 
jue2 决 
jun1 军 
jun4 呁 
ka1 喀 
ka3 佧 
kai1 开 
kai3 凯 
kai4 炌 
kan1 刊 
kan3 坎 
kan4 衎 
kang1 砊 
kang4 亢 
kao1 髛 
kao3 考 
kao4 铐 
ke1 牱 
ke2 翗 
ke3 岢 
ke4 克 
ken3 肎 
ken4 掯 
keng1 阬 
kong1 崆 
kong3 孔 
kong4 控 
kou1 芤 
kou3 口 
kou4 叩 
ku1 刳 
ku3 狜 
ku4 库 
kua1 夸 
kua3 侉 
kua4 胯 
kuai3 擓 
kuai4 块 
kuan1 宽 
kuan3 梡 
kuang1 匡 
kuang2 狂 
kuang3 夼 
kuang4 邝 
kui1 亏 
kui2 奎 
kui3 煃 
kui4 喟 
kun1 坤 
kun3 捆 
kun4 困 
kuo4 扩 
la1 垃 
la2 旯 
la3 藞 
la4 翋 
lai2 倈 
lai3 襰 
lai4 睞 
lan2 兰 
lan3 览 
lan4 烂 
lang1 啷 
lang2 勆 
lang3 朗 
lang4 阆 
lao1 捞 
lao2 劳 
lao3 老 
lao4 閖 
le4 仂 
lei2 蔂 
lei3 厽 
lei4 泪 
leng2 唥 
leng3 冷 
leng4 堎 
li2 刕 
li3 礼 
li4 力 
lian2 连 
lian3 敛 
lian4 练 
liang2 良 
liang3 両 
liang4 亮 
liao1 蹽 
liao2 辽 
liao3 鄝 
liao4 尥 
lie4 列 
lin1 拎 
lin2 邻 
lin3 僯 
lin4 吝 
ling2 伶 
ling3 领 
ling4 另 
liu1 熘 
liu2 刘 
liu3 柳 
liu4 翏 
long2 龙 
long3 拢 
long4 哢 
lou2 娄 
